,Product_Code,ds,y,y_log
0,P1,2025-01-07,11,2.4849066497880004
1,P1,2025-01-14,12,2.5649493574615367
2,P1,2025-01-21,10,2.3978952727983707
3,P1,2025-01-28,8,2.1972245773362196
4,P1,2025-02-04,13,2.639057329615259
5,P1,2025-02-11,12,2.5649493574615367
6,P1,2025-02-18,14,2.70805020110221
7,P1,2025-02-25,21,3.091042453358316
8,P1,2025-03-04,6,1.9459101490553132
9,P1,2025-03-11,14,2.70805020110221
10,P1,2025-03-18,11,2.4849066497880004
11,P1,2025-03-25,14,2.70805020110221
12,P1,2025-04-01,16,2.833213344056216
13,P1,2025-04-08,9,2.302585092994046
14,P1,2025-04-15,9,2.302585092994046
15,P1,2025-04-22,9,2.302585092994046
16,P1,2025-04-29,14,2.70805020110221
17,P1,2025-05-06,9,2.302585092994046
18,P1,2025-05-13,3,1.3862943611198906
19,P1,2025-05-20,12,2.5649493574615367
20,P1,2025-05-27,5,1.791759469228055
21,P1,2025-06-03,11,2.4849066497880004
22,P1,2025-06-10,7,2.0794415416798357
23,P1,2025-06-17,12,2.5649493574615367
24,P1,2025-06-24,5,1.791759469228055
25,P1,2025-07-01,9,2.302585092994046
26,P1,2025-07-08,7,2.0794415416798357
27,P1,2025-07-15,10,2.3978952727983707
28,P1,2025-07-22,5,1.791759469228055
29,P1,2025-07-29,11,2.4849066497880004
30,P1,2025-08-05,7,2.0794415416798357
31,P1,2025-08-12,10,2.3978952727983707
32,P1,2025-08-19,12,2.5649493574615367
33,P1,2025-08-26,6,1.9459101490553132
34,P1,2025-09-02,5,1.791759469228055
35,P1,2025-09-09,14,2.70805020110221
36,P1,2025-09-16,10,2.3978952727983707
37,P1,2025-09-23,9,2.302585092994046
38,P1,2025-09-30,12,2.5649493574615367
39,P1,2025-10-07,17,2.8903717578961645
40,P1,2025-10-14,7,2.0794415416798357
41,P1,2025-10-21,11,2.4849066497880004
42,P1,2025-10-28,4,1.6094379124341003
43,P1,2025-11-04,7,2.0794415416798357
44,P1,2025-11-11,8,2.1972245773362196
45,P1,2025-11-18,10,2.3978952727983707
46,P1,2025-11-25,12,2.5649493574615367
47,P1,2025-12-02,3,1.3862943611198906
48,P1,2025-12-09,7,2.0794415416798357
49,P1,2025-12-16,6,1.9459101490553132
50,P1,2025-12-23,5,1.791759469228055
51,P1,2025-12-30,10,2.3978952727983707
52,P10,2025-01-07,22,3.1354942159291497
53,P10,2025-01-14,19,2.995732273553991
54,P10,2025-01-21,19,2.995732273553991
55,P10,2025-01-28,29,3.4011973816621555
56,P10,2025-02-04,20,3.044522437723423
57,P10,2025-02-11,16,2.833213344056216
58,P10,2025-02-18,26,3.295836866004329
59,P10,2025-02-25,20,3.044522437723423
60,P10,2025-03-04,24,3.2188758248682006
61,P10,2025-03-11,20,3.044522437723423
62,P10,2025-03-18,31,3.4657359027997265
63,P10,2025-03-25,22,3.1354942159291497
64,P10,2025-04-01,23,3.1780538303479458
65,P10,2025-04-08,19,2.995732273553991
66,P10,2025-04-15,15,2.772588722239781
67,P10,2025-04-22,19,2.995732273553991
68,P10,2025-04-29,22,3.1354942159291497
69,P10,2025-05-06,23,3.1780538303479458
70,P10,2025-05-13,20,3.044522437723423
71,P10,2025-05-20,33,3.5263605246161616
72,P10,2025-05-27,16,2.833213344056216
73,P10,2025-06-03,23,3.1780538303479458
74,P10,2025-06-10,23,3.1780538303479458
75,P10,2025-06-17,16,2.833213344056216
76,P10,2025-06-24,25,3.258096538021482
77,P10,2025-07-01,27,3.332204510175204
78,P10,2025-07-08,12,2.5649493574615367
79,P10,2025-07-15,15,2.772588722239781
80,P10,2025-07-22,15,2.772588722239781
81,P10,2025-07-29,11,2.4849066497880004
82,P10,2025-08-05,14,2.70805020110221
83,P10,2025-08-12,29,3.4011973816621555
84,P10,2025-08-19,23,3.1780538303479458
85,P10,2025-08-26,12,2.5649493574615367
86,P10,2025-09-02,16,2.833213344056216
87,P10,2025-09-09,9,2.302585092994046
88,P10,2025-09-16,23,3.1780538303479458
89,P10,2025-09-23,22,3.1354942159291497
90,P10,2025-09-30,15,2.772588722239781
91,P10,2025-10-07,18,2.9444389791664403
92,P10,2025-10-14,13,2.639057329615259
93,P10,2025-10-21,17,2.8903717578961645
94,P10,2025-10-28,14,2.70805020110221
95,P10,2025-11-04,17,2.8903717578961645
96,P10,2025-11-11,11,2.4849066497880004
97,P10,2025-11-18,24,3.2188758248682006
98,P10,2025-11-25,13,2.639057329615259
99,P10,2025-12-02,16,2.833213344056216
100,P10,2025-12-09,18,2.9444389791664403
101,P10,2025-12-16,23,3.1780538303479458
102,P10,2025-12-23,18,2.9444389791664403
103,P10,2025-12-30,20,3.044522437723423
104,P100,2025-01-07,13,2.639057329615259
105,P100,2025-01-14,6,1.9459101490553132
106,P100,2025-01-21,7,2.0794415416798357
107,P100,2025-01-28,9,2.302585092994046
108,P100,2025-02-04,9,2.302585092994046
109,P100,2025-02-11,15,2.772588722239781
110,P100,2025-02-18,13,2.639057329615259
111,P100,2025-02-25,6,1.9459101490553132
112,P100,2025-03-04,7,2.0794415416798357
113,P100,2025-03-11,10,2.3978952727983707
114,P100,2025-03-18,9,2.302585092994046
115,P100,2025-03-25,12,2.5649493574615367
116,P100,2025-04-01,11,2.4849066497880004
117,P100,2025-04-08,10,2.3978952727983707
118,P100,2025-04-15,12,2.5649493574615367
119,P100,2025-04-22,14,2.70805020110221
120,P100,2025-04-29,10,2.3978952727983707
121,P100,2025-05-06,19,2.995732273553991
122,P100,2025-05-13,11,2.4849066497880004
123,P100,2025-05-20,10,2.3978952727983707
124,P100,2025-05-27,8,2.1972245773362196
125,P100,2025-06-03,17,2.8903717578961645
126,P100,2025-06-10,11,2.4849066497880004
127,P100,2025-06-17,15,2.772588722239781
128,P100,2025-06-24,29,3.4011973816621555
129,P100,2025-07-01,13,2.639057329615259
130,P100,2025-07-08,5,1.791759469228055
131,P100,2025-07-15,8,2.1972245773362196
132,P100,2025-07-22,10,2.3978952727983707
133,P100,2025-07-29,6,1.9459101490553132
134,P100,2025-08-05,8,2.1972245773362196
135,P100,2025-08-12,7,2.0794415416798357
136,P100,2025-08-19,9,2.302585092994046
137,P100,2025-08-26,11,2.4849066497880004
138,P100,2025-09-02,5,1.791759469228055
139,P100,2025-09-09,6,1.9459101490553132
140,P100,2025-09-16,8,2.1972245773362196
141,P100,2025-09-23,12,2.5649493574615367
142,P100,2025-09-30,9,2.302585092994046
143,P100,2025-10-07,12,2.5649493574615367
144,P100,2025-10-14,9,2.302585092994046
145,P100,2025-10-21,8,2.1972245773362196
146,P100,2025-10-28,10,2.3978952727983707
147,P100,2025-11-04,16,2.833213344056216
148,P100,2025-11-11,11,2.4849066497880004
149,P100,2025-11-18,8,2.1972245773362196
150,P100,2025-11-25,17,2.8903717578961645
151,P100,2025-12-02,16,2.833213344056216
152,P100,2025-12-09,8,2.1972245773362196
153,P100,2025-12-16,10,2.3978952727983707
154,P100,2025-12-23,23,3.1780538303479458
155,P100,2025-12-30,21,3.091042453358316
156,P101,2025-01-07,26,3.295836866004329
157,P101,2025-01-14,51,3.9512437185814275
158,P101,2025-01-21,45,3.828641396489095
159,P101,2025-01-28,47,3.8712010109078907
160,P101,2025-02-04,40,3.713572066704308
161,P101,2025-02-11,36,3.6109179126442243
162,P101,2025-02-18,38,3.6635616461296463
163,P101,2025-02-25,28,3.367295829986474
164,P101,2025-03-04,38,3.6635616461296463
165,P101,2025-03-11,45,3.828641396489095
166,P101,2025-03-18,52,3.970291913552122
167,P101,2025-03-25,37,3.6375861597263857
168,P101,2025-04-01,49,3.912023005428146
169,P101,2025-04-08,36,3.6109179126442243
170,P101,2025-04-15,37,3.6375861597263857
171,P101,2025-04-22,40,3.713572066704308
172,P101,2025-04-29,52,3.970291913552122
173,P101,2025-05-06,37,3.6375861597263857
174,P101,2025-05-13,43,3.784189633918261
175,P101,2025-05-20,34,3.5553480614894135
176,P101,2025-05-27,44,3.8066624897703196
177,P101,2025-06-03,44,3.8066624897703196
178,P101,2025-06-10,37,3.6375861597263857
179,P101,2025-06-17,41,3.7376696182833684
180,P101,2025-06-24,34,3.5553480614894135
181,P101,2025-07-01,27,3.332204510175204
182,P101,2025-07-08,27,3.332204510175204
183,P101,2025-07-15,25,3.258096538021482
184,P101,2025-07-22,30,3.4339872044851463
185,P101,2025-07-29,19,2.995732273553991
186,P101,2025-08-05,27,3.332204510175204
187,P101,2025-08-12,34,3.5553480614894135
188,P101,2025-08-19,39,3.6888794541139363
189,P101,2025-08-26,22,3.1354942159291497
190,P101,2025-09-02,30,3.4339872044851463
191,P101,2025-09-09,28,3.367295829986474
192,P101,2025-09-16,25,3.258096538021482
193,P101,2025-09-23,37,3.6375861597263857
194,P101,2025-09-30,45,3.828641396489095
195,P101,2025-10-07,35,3.58351893845611
196,P101,2025-10-14,31,3.4657359027997265
197,P101,2025-10-21,33,3.5263605246161616
198,P101,2025-10-28,33,3.5263605246161616
199,P101,2025-11-04,45,3.828641396489095
200,P101,2025-11-11,29,3.4011973816621555
201,P101,2025-11-18,36,3.6109179126442243
202,P101,2025-11-25,41,3.7376696182833684
203,P101,2025-12-02,33,3.5263605246161616
204,P101,2025-12-09,34,3.5553480614894135
205,P101,2025-12-16,37,3.6375861597263857
206,P101,2025-12-23,21,3.091042453358316
207,P101,2025-12-30,15,2.772588722239781
208,P102,2025-01-07,34,3.5553480614894135
209,P102,2025-01-14,41,3.7376696182833684
210,P102,2025-01-21,22,3.1354942159291497
211,P102,2025-01-28,32,3.4965075614664802
212,P102,2025-02-04,36,3.6109179126442243
213,P102,2025-02-11,27,3.332204510175204
214,P102,2025-02-18,44,3.8066624897703196
215,P102,2025-02-25,33,3.5263605246161616
216,P102,2025-03-04,22,3.1354942159291497
217,P102,2025-03-11,38,3.6635616461296463
218,P102,2025-03-18,33,3.5263605246161616
219,P102,2025-03-25,33,3.5263605246161616
220,P102,2025-04-01,39,3.6888794541139363
221,P102,2025-04-08,31,3.4657359027997265
222,P102,2025-04-15,28,3.367295829986474
223,P102,2025-04-22,37,3.6375861597263857
224,P102,2025-04-29,44,3.8066624897703196
225,P102,2025-05-06,40,3.713572066704308
226,P102,2025-05-13,40,3.713572066704308
227,P102,2025-05-20,43,3.784189633918261
228,P102,2025-05-27,36,3.6109179126442243
229,P102,2025-06-03,28,3.367295829986474
230,P102,2025-06-10,42,3.7612001156935624
231,P102,2025-06-17,29,3.4011973816621555
232,P102,2025-06-24,43,3.784189633918261
233,P102,2025-07-01,20,3.044522437723423
234,P102,2025-07-08,25,3.258096538021482
235,P102,2025-07-15,27,3.332204510175204
236,P102,2025-07-22,26,3.295836866004329
237,P102,2025-07-29,29,3.4011973816621555
238,P102,2025-08-05,24,3.2188758248682006
239,P102,2025-08-12,34,3.5553480614894135
240,P102,2025-08-19,27,3.332204510175204
241,P102,2025-08-26,29,3.4011973816621555
242,P102,2025-09-02,27,3.332204510175204
243,P102,2025-09-09,36,3.6109179126442243
244,P102,2025-09-16,28,3.367295829986474
245,P102,2025-09-23,30,3.4339872044851463
246,P102,2025-09-30,33,3.5263605246161616
247,P102,2025-10-07,39,3.6888794541139363
248,P102,2025-10-14,28,3.367295829986474
249,P102,2025-10-21,25,3.258096538021482
250,P102,2025-10-28,36,3.6109179126442243
251,P102,2025-11-04,35,3.58351893845611
252,P102,2025-11-11,27,3.332204510175204
253,P102,2025-11-18,24,3.2188758248682006
254,P102,2025-11-25,22,3.1354942159291497
255,P102,2025-12-02,19,2.995732273553991
256,P102,2025-12-09,32,3.4965075614664802
257,P102,2025-12-16,26,3.295836866004329
258,P102,2025-12-23,31,3.4657359027997265
259,P102,2025-12-30,29,3.4011973816621555
260,P103,2025-01-07,7,2.0794415416798357
261,P103,2025-01-14,5,1.791759469228055
262,P103,2025-01-21,7,2.0794415416798357
263,P103,2025-01-28,7,2.0794415416798357
264,P103,2025-02-04,14,2.70805020110221
265,P103,2025-02-11,9,2.302585092994046
266,P103,2025-02-18,10,2.3978952727983707
267,P103,2025-02-25,6,1.9459101490553132
268,P103,2025-03-04,12,2.5649493574615367
269,P103,2025-03-11,13,2.639057329615259
270,P103,2025-03-18,8,2.1972245773362196
271,P103,2025-03-25,9,2.302585092994046
272,P103,2025-04-01,6,1.9459101490553132
273,P103,2025-04-08,9,2.302585092994046
274,P103,2025-04-15,9,2.302585092994046
275,P103,2025-04-22,8,2.1972245773362196
276,P103,2025-04-29,13,2.639057329615259
277,P103,2025-05-06,10,2.3978952727983707
278,P103,2025-05-13,8,2.1972245773362196
279,P103,2025-05-20,8,2.1972245773362196
280,P103,2025-05-27,10,2.3978952727983707
281,P103,2025-06-03,3,1.3862943611198906
282,P103,2025-06-10,13,2.639057329615259
283,P103,2025-06-17,7,2.0794415416798357
284,P103,2025-06-24,9,2.302585092994046
285,P103,2025-07-01,6,1.9459101490553132
286,P103,2025-07-08,5,1.791759469228055
287,P103,2025-07-15,4,1.6094379124341003
288,P103,2025-07-22,5,1.791759469228055
289,P103,2025-07-29,3,1.3862943611198906
290,P103,2025-08-05,11,2.4849066497880004
291,P103,2025-08-12,10,2.3978952727983707
